g1,"rgb(166, 171, 211)"
DaniloGentili,"rgb(127, 179, 195)"
felipeneto,"rgb(193, 154, 184)"
jairbolsonaro,"rgb(112, 180, 180)"
rafinhabastos,"rgb(162, 173, 214)"
realwbonner,"rgb(163, 173, 213)"
folha,"rgb(178, 164, 199)"
Estadao,"rgb(170, 169, 207)"
JornalOGlobo,"rgb(168, 170, 209)"
VEJA,"rgb(159, 176, 217)"
MarceloTas,"rgb(164, 172, 212)"
LucianoHuck,"rgb(161, 175, 216)"
evaristocosta,"rgb(169, 169, 208)"
GloboNews,"rgb(164, 172, 212)"
marcosmion,"rgb(156, 178, 220)"
dilmabr,"rgb(195, 153, 182)"
Haddad_Fernando,"rgb(212, 143, 167)"
programapanico,"rgb(143, 178, 209)"
MarceloAdnet,"rgb(186, 159, 192)"
SF_Moro,"rgb(122, 179, 190)"
bbcbrasil,"rgb(178, 164, 199)"
jornalnacional,"rgb(163, 173, 214)"
LulaOficial,"rgb(209, 145, 169)"
oatila,"rgb(199, 151, 179)"
GabrielaPrioli,"rgb(201, 150, 177)"
PaolaCarosella,"rgb(200, 150, 178)"
UOLNoticias,"rgb(171, 168, 206)"
RevistaEpoca,"rgb(163, 173, 213)"
alexandregarcia,"rgb(97, 180, 166)"
ManuelaDavila,"rgb(215, 141, 163)"
jose_simao,"rgb(179, 164, 199)"
QuebrandoOTabu,"rgb(206, 147, 172)"
sensacionalista,"rgb(192, 155, 186)"
BolsonaroSP,"rgb(94, 180, 163)"
GuilhermeBoulos,"rgb(220, 138, 158)"
portalR7,"rgb(155, 178, 221)"
STF_oficial,"rgb(159, 176, 217)"
emicida,"rgb(210, 144, 168)"
nilmoretto,"rgb(195, 153, 182)"
PBiaL,"rgb(167, 171, 210)"
cirogomes,"rgb(198, 151, 180)"
gduvivier,"rgb(215, 141, 164)"
policiafederal,"rgb(121, 179, 189)"
CarlosBolsonaro,"rgb(94, 180, 163)"
GeneralMourao,"rgb(107, 180, 176)"
MarinaSilva,"rgb(179, 163, 198)"
TheInterceptBr,"rgb(216, 141, 163)"
Marcelodedois,"rgb(213, 143, 166)"
CdNLeon,"rgb(183, 161, 194)"
cleytu,"rgb(187, 158, 190)"
cartacapital,"rgb(200, 151, 178)"
miriamleitao,"rgb(170, 169, 206)"
MarceloFreixo,"rgb(215, 141, 163)"
UOL,"rgb(170, 169, 207)"
FlavioBolsonaro,"rgb(94, 180, 163)"
gugachacra,"rgb(179, 163, 198)"
SBTonline,"rgb(147, 178, 213)"
OscarFilho,"rgb(161, 175, 216)"
valoreconomico,"rgb(163, 173, 213)"
paulocoelho,"rgb(180, 162, 197)"
RomarioOnze,"rgb(155, 178, 221)"
RevistaISTOE,"rgb(159, 175, 217)"
ggreenwald,"rgb(221, 137, 158)"
IzaReal,"rgb(200, 150, 178)"
exercitooficial,"rgb(102, 180, 171)"
monicabergamo,"rgb(190, 156, 188)"
MidiaNINJA,"rgb(223, 136, 156)"
CNNBrasil,"rgb(155, 178, 221)"
o_antagonista,"rgb(120, 179, 188)"
andrizek,"rgb(178, 164, 199)"
Miltonneves,"rgb(122, 179, 190)"
nathfinancas,"rgb(221, 137, 158)"
euclarice,"rgb(214, 142, 165)"
SenadoFederal,"rgb(155, 178, 221)"
xicosa,"rgb(210, 144, 169)"
deltanmd,"rgb(104, 180, 173)"
elpais_brasil,"rgb(208, 146, 171)"
roxmo,"rgb(88, 180, 158)"
planalto,"rgb(140, 179, 207)"
AnaPaulaVolei,"rgb(80, 181, 150)"
RachelSherazade,"rgb(153, 178, 219)"
FMouraBrasil,"rgb(106, 180, 175)"
AndreiaSadi,"rgb(167, 171, 209)"
minsaude,"rgb(151, 178, 217)"
OdeCarvalho,"rgb(86, 180, 155)"
augustosnunes,"rgb(89, 180, 159)"
jeanwyllys_real,"rgb(217, 140, 161)"
diImabr,"rgb(212, 143, 166)"
camaradeputados,"rgb(156, 178, 220)"
MPF_PGR,"rgb(136, 179, 203)"
Gen_VillasBoas,"rgb(92, 180, 161)"
DamaresAlves,"rgb(86, 180, 156)"
reinaldoazevedo,"rgb(174, 166, 203)"
AbrahamWeint,"rgb(83, 181, 153)"
joaquimboficial,"rgb(160, 175, 217)"
lacerda,"rgb(199, 151, 179)"
radiobandnewsfm,"rgb(161, 175, 216)"
cristilobo,"rgb(161, 174, 215)"
gen_heleno,"rgb(85, 180, 155)"
Brunozor,"rgb(200, 150, 178)"
caitomainier,"rgb(209, 145, 169)"
JusticaGovBR,"rgb(127, 179, 194)"
HistoriaNoPaint,"rgb(203, 149, 175)"
revistapiaui,"rgb(198, 151, 180)"
zehdeabreu,"rgb(220, 138, 159)"
CarlaZambelli38,"rgb(86, 180, 156)"
joaoamoedonovo,"rgb(118, 179, 186)"
slpng_giants_pt,"rgb(215, 141, 164)"
DanielSFurlan,"rgb(211, 144, 167)"
STJnoticias,"rgb(155, 178, 221)"
